3.00000e+00, 4.34791e+00, 2.93912e+01
3.01000e+00, 4.37161e+00, 2.94819e+01
3.02000e+00, 4.39534e+00, 2.95725e+01
3.03000e+00, 4.41911e+00, 2.96630e+01
3.04000e+00, 4.44291e+00, 2.97534e+01
3.05000e+00, 4.46675e+00, 2.98438e+01
3.06000e+00, 4.49062e+00, 2.99341e+01
3.07000e+00, 4.51452e+00, 3.00243e+01
3.08000e+00, 4.53846e+00, 3.01144e+01
3.09000e+00, 4.56243e+00, 3.02045e+01
3.10000e+00, 4.58643e+00, 3.02945e+01
3.11000e+00, 4.61046e+00, 3.03844e+01
3.12000e+00, 4.63452e+00, 3.04742e+01
3.13000e+00, 4.65862e+00, 3.05639e+01
3.14000e+00, 4.68275e+00, 3.06536e+01
3.15000e+00, 4.70690e+00, 3.07432e+01
3.16000e+00, 4.73109e+00, 3.08328e+01
3.17000e+00, 4.75531e+00, 3.09222e+01
3.18000e+00, 4.77955e+00, 3.10116e+01
3.19000e+00, 4.80383e+00, 3.11009e+01
3.20000e+00, 4.82813e+00, 3.11902e+01
3.21000e+00, 4.85247e+00, 3.12793e+01
3.22000e+00, 4.87683e+00, 3.13684e+01
3.23000e+00, 4.90122e+00, 3.14574e+01
3.24000e+00, 4.92564e+00, 3.15464e+01
3.25000e+00, 4.95008e+00, 3.16353e+01
3.26000e+00, 4.97455e+00, 3.17240e+01
3.27000e+00, 4.99905e+00, 3.18128e+01
3.28000e+00, 5.02358e+00, 3.19014e+01
3.29000e+00, 5.04813e+00, 3.19900e+01
3.30000e+00, 5.07271e+00, 3.20785e+01
3.31000e+00, 5.09731e+00, 3.21669e+01
3.32000e+00, 5.12194e+00, 3.22553e+01
3.33000e+00, 5.14659e+00, 3.23436e+01
3.34000e+00, 5.17127e+00, 3.24318e+01
3.35000e+00, 5.19597e+00, 3.25200e+01
3.36000e+00, 5.22070e+00, 3.26080e+01
3.37000e+00, 5.24545e+00, 3.26961e+01
3.38000e+00, 5.27022e+00, 3.27840e+01
3.39000e+00, 5.29502e+00, 3.28719e+01
3.40000e+00, 5.31984e+00, 3.29596e+01
3.41000e+00, 5.34469e+00, 3.30474e+01
3.42000e+00, 5.36955e+00, 3.31350e+01
3.43000e+00, 5.39444e+00, 3.32226e+01
3.44000e+00, 5.41935e+00, 3.33101e+01
3.45000e+00, 5.44428e+00, 3.33976e+01
3.46000e+00, 5.46923e+00, 3.34849e+01
3.47000e+00, 5.49421e+00, 3.35722e+01
3.48000e+00, 5.51920e+00, 3.36595e+01
3.49000e+00, 5.54422e+00, 3.37466e+01
3.50000e+00, 5.56925e+00, 3.38337e+01
3.51000e+00, 5.59431e+00, 3.39208e+01
3.52000e+00, 5.61939e+00, 3.40077e+01
3.53000e+00, 5.64448e+00, 3.40946e+01
3.54000e+00, 5.66960e+00, 3.41814e+01
3.55000e+00, 5.69473e+00, 3.42682e+01
3.56000e+00, 5.71988e+00, 3.43549e+01
3.57000e+00, 5.74505e+00, 3.44415e+01
3.58000e+00, 5.77024e+00, 3.45280e+01
3.59000e+00, 5.79545e+00, 3.46145e+01
3.60000e+00, 5.82067e+00, 3.47010e+01
3.61000e+00, 5.84592e+00, 3.47873e+01
3.62000e+00, 5.87118e+00, 3.48736e+01
3.63000e+00, 5.89645e+00, 3.49598e+01
3.64000e+00, 5.92175e+00, 3.50460e+01
3.65000e+00, 5.94706e+00, 3.51320e+01
3.66000e+00, 5.97238e+00, 3.52181e+01
3.67000e+00, 5.99773e+00, 3.53040e+01
3.68000e+00, 6.02308e+00, 3.53899e+01
3.69000e+00, 6.04846e+00, 3.54757e+01
3.70000e+00, 6.07385e+00, 3.55615e+01
3.71000e+00, 6.09925e+00, 3.56472e+01
3.72000e+00, 6.12467e+00, 3.57328e+01
3.73000e+00, 6.15011e+00, 3.58183e+01
3.74000e+00, 6.17555e+00, 3.59038e+01
3.75000e+00, 6.20102e+00, 3.59893e+01
3.76000e+00, 6.22649e+00, 3.60746e+01
3.77000e+00, 6.25199e+00, 3.61599e+01
3.78000e+00, 6.27749e+00, 3.62452e+01
3.79000e+00, 6.30301e+00, 3.63303e+01
3.80000e+00, 6.32854e+00, 3.64155e+01
3.81000e+00, 6.35408e+00, 3.65005e+01
3.82000e+00, 6.37964e+00, 3.65855e+01
3.83000e+00, 6.40521e+00, 3.66704e+01
3.84000e+00, 6.43079e+00, 3.67553e+01
3.85000e+00, 6.45639e+00, 3.68401e+01
3.86000e+00, 6.48199e+00, 3.69248e+01
3.87000e+00, 6.50761e+00, 3.70095e+01
3.88000e+00, 6.53324e+00, 3.70941e+01
3.89000e+00, 6.55888e+00, 3.71786e+01
3.90000e+00, 6.58453e+00, 3.72631e+01
3.91000e+00, 6.61019e+00, 3.73475e+01
3.92000e+00, 6.63587e+00, 3.74319e+01
3.93000e+00, 6.66155e+00, 3.75162e+01
3.94000e+00, 6.68724e+00, 3.76004e+01
3.95000e+00, 6.71295e+00, 3.76846e+01
3.96000e+00, 6.73866e+00, 3.77687e+01
3.97000e+00, 6.76439e+00, 3.78528e+01
3.98000e+00, 6.79012e+00, 3.79368e+01
3.99000e+00, 6.81586e+00, 3.80207e+01
4.00000e+00, 6.84161e+00, 3.81046e+01
4.01000e+00, 6.86737e+00, 3.81884e+01
4.02000e+00, 6.89314e+00, 3.82722e+01
4.03000e+00, 6.91892e+00, 3.83559e+01
4.04000e+00, 6.94471e+00, 3.84395e+01
4.05000e+00, 6.97051e+00, 3.85231e+01
4.06000e+00, 6.99631e+00, 3.86066e+01
